DEFENSE,DEF RATING,GM,FPPG,FPPG RANK,QB,QB RANK,RB,RB RANK,WR,WR RANK,TE,TE RANK,K,K RANK,DEF,DEF RANK
"Jaguars",80,16,72.3,1,11.6,1,21.7,9,22.9,1,10.3,11,5.8,4,0,1
"Vikings",77,16,73,2,12.3,3,17.3,1,28.9,9,8.9,2,6.4,9,0,1
"Chargers",79,16,81.5,3,13.2,4,23.9,23,28.5,7,10,8,5.8,4,0,1
"Steelers",92,16,81.6,4,14.7,8,23.4,21,28.6,8,9.3,3,5.5,2,0,1
"Broncos",78,16,82.7,5,15.7,10,19.4,3,25.8,2,14.7,29,7.1,15,0,1
"Ravens",71,16,82.8,6,12.3,2,23.4,20,27.1,6,13.1,24,6.9,13,0,1
"Bears",72,16,83.5,7,13.6,5,21.8,10,31,13,10.3,12,7.4,18,0,1
"Eagles",86,16,85.3,8,15.9,12,19.4,2,33.5,24,10.9,15,5.7,3,0,1
"Seahawks",81,16,85.8,9,13.9,6,21.7,8,32.3,17,10.2,10,7.8,23,0,1
"Falcons",87,16,86.9,10,17.1,19,22.8,16,30.2,12,10.6,13,7.2,16,0,1
"Rams",82,16,87.3,11,14.8,9,25.5,29,29.4,10,11.8,19,6.3,8,0,1
"Panthers",84,16,87.7,12,15.8,11,19.9,4,36.1,29,9.5,6,7.4,20,0,1
"Saints",90,16,87.8,13,16.8,17,22.6,14,32.8,21,8.8,1,6.8,11,0,1
"Cardinals",81,16,88,14,17.7,25,21,6,31,14,11.4,17,6.9,13,0,1
"Washington",80,16,89.4,15,15.9,13,25.2,26,26.6,5,14.1,27,8.4,28,0,1
"Cowboys",91,16,89.9,16,16.7,16,21.8,11,34.2,27,11.9,21,5.3,1,0,1
"Bengals",74,16,89.9,17,16.2,14,26.2,30,26.2,4,12.6,23,8.7,30,0,1
"Bills",75,16,90.9,18,14,7,26.7,32,29.6,11,13.1,25,8.2,27,0,1
"Dolphins",70,16,91.7,19,17.3,20,25.2,27,25.9,3,16.1,32,7.7,22,0,1
"Chiefs",90,16,92.1,20,17.7,24,21.4,7,37.3,31,9.7,7,6.1,7,0,1
"Jets",75,16,92.2,21,18.9,30,22.8,15,32.7,20,11.9,22,6.4,9,0,1
"Lions",83,16,92.4,22,16.2,15,26.4,31,32.5,18,11,16,6.9,12,0,1
"Patriots",94,16,92.9,23,18.1,26,22.9,17,36.3,30,10.1,9,6,6,0,1
"Titans",82,16,93,24,16.9,18,22.6,13,33,22,11.8,20,8.8,31,0,1
"Colts",72,16,93.5,25,17.3,21,22.2,12,34.1,26,11.6,18,8.1,26,0,1
"Browns",70,16,94.8,26,18.5,28,22.9,18,31.3,15,14.8,30,7.2,17,0,1
"Raiders",80,16,95,27,17.5,23,23.6,22,31.4,16,13.9,26,8.6,29,0,1
"49ers",73,16,95.1,28,18.7,29,25.3,28,32.6,19,10.9,14,7.6,21,0,1
"Texans",86,16,95.8,29,19.1,31,19.9,5,33.6,25,14.2,28,9,32,0,1
"Packers",82,16,96,30,18.4,27,24.7,24,35.9,28,9.4,5,8,25,0,1
"Buccaneers",81,16,96.1,31,17.4,22,25,25,37.8,32,9.4,4,7.4,18,0,1
"Giants",76,16,99.7,32,19.4,32,23.3,19,33.3,23,15.9,31,7.8,23,0,1
