DEFENSE,DEF RATING,GM,FPPG,FPPG RANK,QB,QB RANK,RB,RB RANK,WR,WR RANK,TE,TE RANK,K,K RANK,DEF,DEF RANK
"Minnesota Vikings",97,16,80.8,1,14,2,22.8,10,27.3,2,9.4,9,7.9,29,0,1
"Buffalo Bills",82,16,81.6,2,12.3,1,26.6,26,28.2,4,7.8,1,6.8,12,0,1
"Baltimore Ravens",97,16,82.2,3,15.2,5,18.3,2,30.8,7,12.9,19,5.4,2,0,1
"Jacksonville Jaguars",98,16,82.3,4,16.5,10,20.1,6,27,1,11.8,16,6.9,16,0,1
"Chicago Bears",86,16,83.6,5,14.2,3,18.1,1,35.3,18,10,10,6.1,4,0,1
"Los Angeles Chargers",90,16,86.6,6,15.9,7,24.1,20,29.3,5,11.2,15,6.2,7,0,1
"Tennessee Titans",78,16,86.8,7,15.8,6,18.8,4,36.6,22,8.9,4,6.8,13,0,1
"Dallas Cowboys",77,16,90.2,8,16.3,9,23.2,12,30.1,6,13.8,25,7,17,0,1
"Detroit Lions",79,16,91.7,9,17.5,14,23.7,17,33.9,10,10.8,14,5.8,3,0,1
"Indianapolis Colts",75,16,91.8,10,16.8,12,24.1,18,28.1,3,15.4,30,7.5,25,0,1
"Seattle Seahawks",89,16,92.9,11,16.6,11,24.4,21,35.9,19,9.2,6,6.8,13,0,1
"Houston Texans",77,16,93.8,12,17.7,16,20.6,7,33.5,8,15.9,32,6.1,6,0,1
"Pittsburgh Steelers",92,16,94,13,17.6,15,21.3,8,35.9,20,13.1,21,6.5,10,0,1
"Washington Commanders",91,16,94.5,14,18.1,19,24.1,19,36.5,21,10.2,12,6.1,4,0,1
"New England Patriots",73,16,94.6,15,18.3,20,21.9,9,35.1,14,12.5,17,6.8,13,0,1
"Denver Broncos",91,16,94.7,16,16.1,8,23.3,14,35.2,17,12.9,20,7.1,19,0,1
"Arizona Cardinals",97,16,94.9,17,15.2,4,28.9,31,34.9,13,8.8,3,7.1,19,0,1
"Los Angeles Rams",95,16,96,18,17.5,13,23.1,11,35.2,16,13.6,23,7.1,21,0,1
"Carolina Panthers",94,16,96.1,19,19.2,23,19.5,5,37.5,24,14,26,6.4,8,0,1
"New Orleans Saints",94,16,97.3,20,21.1,30,18.3,3,43.4,31,9.2,7,5.2,1,0,1
"Green Bay Packers",78,16,97.9,21,18,18,23.5,16,38.8,27,10.5,13,7,17,0,1
"New York Giants",77,16,98.4,22,18,17,25.9,24,33.9,9,13.3,22,8.2,30,0,1
"Las Vegas Raiders",74,16,100.1,23,19.7,25,23.5,15,34.6,11,14.6,28,7.8,27,0,1
"San Francisco 49ers",75,16,100.6,24,19.3,24,26.1,25,38.5,26,9.3,8,7.3,23,0,1
"Philadelphia Eagles",96,16,100.6,25,19.1,22,24.4,22,41.1,30,9,5,7.8,26,0,1
"Cleveland Browns",82,16,101.4,26,18.4,21,25.4,23,35.2,15,14.9,29,7.9,28,0,1
"Miami Dolphins",74,16,102,27,19.8,26,27.1,28,34.9,12,12.8,18,7.4,24,0,1
"New York Jets",79,16,104.9,28,20.4,27,23.3,13,43.8,32,8.6,2,8.8,31,0,1
"Atlanta Falcons",77,16,105.9,29,22,32,28.8,30,39.8,29,10,11,6.7,11,0,1
"Tampa Bay Buccaneers",73,16,107.1,30,20.9,29,26.7,27,39.5,28,13.8,24,7.1,21,0,1
"Kansas City Chiefs",73,16,108.8,31,20.4,28,28.8,29,37.7,25,15.5,31,6.4,9,0,1
"Cincinnati Bengals",80,16,109.9,32,21.4,31,29.4,32,36.7,23,14.5,27,8.9,32,0,1
