DEFENSE,DEF RATING,GM,FPPG,FPPG RANK,QB,QB RANK,RB,RB RANK,WR,WR RANK,TE,TE RANK,K,K RANK,DEF,DEF RANK
"Buffalo Bills",77,17,52.8,1,11.2,1,17.3,17,13.7,1,4.7,4,5.9,1,3.5,4
"New England Patriots",82,17,58.5,2,12.5,2,17.6,19,18.4,4,4,1,6,2,5.2,12
"New Orleans Saints",83,17,64.7,3,15.4,5,13.9,2,21.9,15,5.3,7,8.2,20,6.1,16
"Denver Broncos",87,17,65.1,4,15.2,4,16.7,11,21.4,12,4.6,3,7.2,11,6.8,22
"Tampa Bay Buccaneers",90,17,67.6,5,17.3,18,14.6,3,21.3,10,7.2,15,7.2,11,3.4,3
"San Francisco 49ers",83,17,68.2,6,17.3,19,16.2,9,22.7,17,5.4,8,6.5,7,4.7,10
"Arizona Cardinals",73,17,68.4,7,16.3,11,15.2,5,25.5,29,4.3,2,7.1,10,4.2,8
"Cleveland Browns",86,17,68.6,8,16.1,9,17.1,15,20.4,7,7.5,18,7.6,15,6.4,19
"Carolina Panthers",80,17,68.6,9,16.1,10,16.7,12,20.4,8,6.9,13,8.6,23,9.1,31
"Los Angeles Rams",90,17,69.6,10,15.2,3,16.2,8,22.9,20,6.8,12,8.5,22,5.7,14
"Tennessee Titans",68,17,70.1,11,17.5,23,13.5,1,26.5,31,4.7,5,7.9,16,6.2,17
"Green Bay Packers",79,17,70.2,12,17.5,22,15.3,6,23.1,22,8,21,6.4,5,3,1
"Miami Dolphins",86,17,70.3,13,15.5,6,16.8,13,21.3,9,7.9,20,8.8,24,7.2,23
"Philadelphia Eagles",72,17,70.6,14,17,15,18.4,21,18.1,2,10.8,31,6.4,6,3.8,5
"Dallas Cowboys",67,17,70.7,15,15.9,8,15.1,4,23.5,24,8.3,22,8,17,4,6
"Indianapolis Colts",77,17,71.2,16,17.5,21,15.6,7,22.8,19,9.2,25,6.2,3,4.1,7
"Chicago Bears",82,17,72,17,17.4,20,17.5,18,23.7,26,5.2,6,8.3,21,9.1,30
"Cincinnati Bengals",63,17,72.9,18,16.9,13,18,20,21.9,14,9.2,26,6.9,9,6.2,18
"Kansas City Chiefs",80,17,73.2,19,19.4,30,17.2,16,23,21,7.4,16,6.2,3,4.4,9
"New York Giants",79,17,73.3,20,15.9,7,20.3,25,21.4,13,6.6,10,9.1,27,9.5,32
"Pittsburgh Steelers",86,17,73.8,21,16.4,12,21,26,21.4,11,6.1,9,9,26,6,15
"Seattle Seahawks",70,17,75.6,22,16.9,14,22,30,20.3,6,9.1,24,7.3,13,5.5,13
"Las Vegas Raiders",69,17,76.2,23,17.2,17,21.6,28,18.6,5,9.8,30,8.9,25,6.6,20
"Jacksonville Jaguars",70,17,77,24,17.7,25,19.4,24,23.5,23,7.1,14,9.4,29,8.3,27
"Baltimore Ravens",88,17,77.4,25,19.1,28,16.3,10,25.9,30,9.5,29,6.6,8,8,26
"Los Angeles Chargers",76,17,77.4,26,17.1,16,21.6,27,18.2,3,11.2,32,9.3,28,5,11
"Atlanta Falcons",65,17,77.9,27,19.5,31,19.3,23,24,27,7.6,19,7.5,14,8.6,29
"Washington Commanders",93,17,78.2,28,21.5,32,17,14,24.1,28,7.5,17,8.1,18,7.4,24
"Houston Texans",60,17,80.4,29,17.6,24,21.7,29,23.6,25,9.5,28,8.1,18,7.6,25
"Minnesota Vikings",84,17,81.3,30,18.2,27,18.9,22,28.1,32,6.7,11,9.5,30,3.4,2
"Detroit Lions",74,17,82.7,31,17.8,26,23,31,22.7,18,8.6,23,10.5,32,6.6,20
"New York Jets",72,17,86.8,32,19.1,29,26.1,32,22,16,9.4,27,10.2,31,8.5,28

