DEFENSE,DEF RATING,GM,FPPG,FPPG RANK,QB,QB RANK,RB,RB RANK,WR,WR RANK,TE,TE RANK,K,K RANK,DEF,DEF RANK
"Patriots",95,16,49.1,1,12.1,1,11,1,14.6,1,6.8,10,4.7,2,5.6,8
"Bills",86,16,56.4,2,13,3,17.2,14,16.4,2,5.5,3,4.3,1,7.1,16
"49ers",92,16,58.4,3,15.6,10,12.7,3,20.1,13,5.6,5,5,3,5.6,9
"Ravens",89,16,58.8,4,12.4,2,15.4,8,19.9,11,4.7,1,6.4,9,3.1,3
"Steelers",93,16,60.9,5,14,6,14.5,5,18.7,7,7.2,13,6.6,11,8.9,26
"Bears",85,16,63.1,6,13.8,4,18.9,15,17.6,5,7.4,18,6,6,7.1,15
"Chargers",75,16,64.4,7,14.4,7,19.9,22,17.2,4,6.6,9,6.3,8,8.3,24
"Broncos",80,16,66.2,8,15.3,9,16.1,10,19.5,9,7.2,14,8,27,7.6,18
"Cowboys",76,16,66.5,9,16.4,13,17.1,12,18.6,6,8.5,25,6.7,13,3.1,2
"Vikings",85,16,67.9,10,15,8,17.2,13,23.6,23,5.1,2,7.1,20,4.6,6
"Chiefs",83,16,68.3,11,16.6,14,21.8,27,16.5,3,8,22,5.4,4,3.4,4
"Packers",79,16,68.6,12,13.8,5,20.8,23,19.7,10,7.4,17,6.8,14,4.2,5
"Jets",80,16,69.2,13,17.2,17,15.6,9,23.9,25,5.5,4,7.1,20,10.4,29
"Rams",82,16,69.8,14,16.2,11,19,16,20.3,14,7.9,21,7,19,6.6,13
"Eagles",80,16,70.5,15,16.8,15,14.7,6,26.9,30,5.6,6,6.5,10,6.2,11
"Saints",81,16,71,16,18.6,21,14,4,25.7,27,6.6,8,6.2,7,2.8,1
"Colts",78,16,72.2,17,18.4,20,15,7,24.6,26,7,11,7.8,23,6.6,12
"Falcons",76,16,73.2,18,20,24,16.5,11,22.8,18,7.5,19,7.8,23,8.2,22
"Titans",79,16,73.2,19,17.7,18,19,18,22.3,17,8.8,27,5.8,5,5.7,10
"Seahawks",78,16,73.9,20,17.1,16,19.5,21,21.6,15,9,30,6.9,16,7.8,19
"Browns",74,16,75,21,18.9,22,21.4,25,18.9,8,9,29,6.9,17,8.1,21
"Buccaneers",86,16,75.8,22,19.3,23,11.2,2,28.4,32,8.6,26,9.3,32,10.5,31
"Jaguars",72,16,75.9,23,18,19,24,31,19.9,12,7.6,20,6.8,14,8.2,22
"Panthers",72,16,78.9,24,16.4,12,26.1,32,23.1,19,6.2,7,8.1,28,10.6,32
"Bengals",70,16,79.4,25,20.7,28,21,24,22.2,16,7.2,12,8.4,30,10.4,30
"Raiders",70,16,79.6,26,20.8,29,19,17,23.7,24,9.2,31,6.9,17,5.2,7
"Texans",71,16,79.7,27,20.6,26,21.5,26,23.4,20,8.4,24,6.6,11,6.8,14
"Giants",71,16,82.7,28,21.3,30,19.2,19,26.2,29,8.2,23,7.8,23,9.6,27
"Washington",74,16,83.1,29,20.3,25,23,30,23.4,21,8.9,28,7.6,22,8.8,25
"Lions",72,16,84.5,30,20.7,27,22.6,29,26.1,28,7.3,16,7.8,23,7.2,17
"Cardinals",73,16,86,31,22.3,32,19.3,20,23.4,22,13.2,32,8.1,28,7.9,20
"Dolphins",70,16,87.5,32,21.6,31,21.9,28,28,31,7.3,15,8.8,31,9.6,27
