DEFENSE,DEF RATING,GM,FPPG,FPPG RANK,QB,QB RANK,RB,RB RANK,WR,WR RANK,TE,TE RANK,K,K RANK,DEF,DEF RANK
"49ers",98,17,67.2,1,14.4,6,12.7,1,28.2,27,7.3,8,4.6,1,3.9,2
"Jets",95,17,68.6,2,14.5,7,18,13,18.5,1,9.8,22,7.8,22,7.5,23
"Saints",87,17,69.8,3,15.2,12,18.4,15,23.1,8,5.2,1,8,23,8.1,26
"Eagles",95,17,69.8,4,14.4,5,18.6,16,22.7,5,8.2,11,6,3,5.2,7
"Washington",79,17,71,5,16.6,19,15.9,5,24.8,15,6.7,4,7,12,7.9,24
"Bills",91,16,71,6,14,3,17.3,10,27.8,26,6.1,3,5.9,2,4.8,5
"Cowboys",97,17,72.7,7,14.9,10,15.4,4,28.6,28,5.4,2,8.4,27,5.2,8
"Ravens",95,17,72.7,8,15.5,13,17,8,25.3,18,7.5,9,7.4,17,6.1,15
"Browns",99,17,73.5,9,13.5,2,22.1,26,23.1,9,7.2,7,7.5,21,6.1,15
"Bengals",89,16,73.6,10,14,4,17.4,11,24.4,12,9,16,8.9,30,5.8,14
"Broncos",69,17,73.8,11,14.5,8,20,23,19.6,2,10.7,28,8.9,31,9.5,30
"Packers",84,17,73.8,12,14.8,9,21,25,23.6,11,7.2,6,7.2,13,5.5,12
"Patriots",90,17,74.1,13,17.1,20,14.8,3,26.3,23,9.4,20,6.5,6,6.9,22
"Steelers",89,17,75.9,14,16.5,18,18,12,25.5,20,8.5,13,7.4,17,6.4,17
"Buccaneers",84,17,76.4,15,16.2,17,16.7,6,26.8,25,10.2,24,6.5,6,5.1,6
"Chargers",74,17,76.8,16,15.5,14,22.7,27,22.8,7,8.4,12,7.5,20,5.2,8
"Rams",72,17,76.9,17,15,11,19.3,20,25.3,19,8.7,14,8.6,28,9.1,29
"Texans",76,17,78.5,18,13.4,1,28,32,20.1,3,8.9,15,8,23,10,31
"Jaguars",87,17,78.5,19,17.9,23,18.7,19,24.7,14,10.6,26,6.5,5,4.5,4
"Colts",77,17,79.2,20,18.5,25,20.9,24,23.4,10,9.3,18,7.3,16,11.7,32
"Giants",73,17,79.3,21,15.9,16,20,22,24.7,13,10,23,8.7,29,5.5,12
"Panthers",84,17,79.4,22,17.8,22,18.6,17,28.7,29,7.7,10,6.6,8,6.5,20
"Chiefs",92,17,79.5,23,20,31,17.1,9,26.3,24,9.3,19,6.6,8,3.4,1
"Seahawks",74,17,79.5,24,15.8,15,23.3,29,20.2,4,13,32,7.2,13,6.5,21
"Falcons",81,17,80.8,25,17.2,21,18.7,18,26.1,21,10.6,27,8.1,25,5.4,11
"Dolphins",88,17,81.4,26,20,30,18,14,25.1,16,11.1,30,7.2,15,5.4,10
"Titans",80,17,82.2,27,19.5,29,14.6,2,31,32,10.7,29,6.4,4,8.2,27
"Bears",60,17,83.3,28,18.7,27,24.7,31,26.2,22,6.8,5,6.8,10,8.6,28
"Raiders",72,17,84.2,29,18.7,26,23.1,28,25.2,17,9.8,21,7.4,17,6.4,19
"Cardinals",67,17,86,30,18,24,24.2,30,22.7,6,12.8,31,8.3,26,7.9,24
"Lions",81,17,86.5,31,22.5,32,17,7,29.7,30,10.4,25,6.9,11,4.2,3
"Vikings",79,17,87.1,32,18.9,28,19.7,21,30.1,31,9.1,17,9.3,32,6.4,17
