,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent
0,49ers,Home,73,Away,72,Away,79,Home,72,Home,86,Home,90,Away,82,Away,70,Home,79,Away,83,Bye,Bye,Away,90,Home,77,Home,93,Away,67,Away,73,Home,70
1,Bears,Away,74,Home,79,Away,65,Home,77,Home,90,Away,80,Away,90,Home,83,Away,68,Home,84,Bye,Bye,Away,79,Home,74,Home,60,Away,84,Away,70,Home,79
2,Bengals,Home,76,Away,86,Away,72,Home,70,Away,88,Away,77,Home,86,Home,68,Bye,Bye,Away,86,Away,93,Home,79,Away,86,Home,67,Home,86,Away,60,Home,88
3,Bills,Home,72,Away,86,Home,90,Away,69,Away,68,Home,80,Away,72,Home,82,Home,70,Away,73,Bye,Bye,Home,76,Away,83,Home,86,Away,87,Away,82,Home,86
4,Broncos,Home,68,Away,86,Home,90,Away,72,Bye,Bye,Away,82,Home,80,Home,76,Away,65,Away,69,Home,86,Home,83,Away,80,Away,80,Home,77,Away,76,Home,69
5,Browns,Away,88,Home,63,Home,93,Away,67,Home,77,Away,86,Away,63,Home,69,Bye,Bye,Home,60,Home,72,Away,70,Away,68,Home,88,Away,79,Away,72,Home,86
6,Buccaneers,Away,83,Home,80,Away,87,Home,76,Away,82,Home,79,Away,69,Away,79,Home,83,Away,80,Home,90,Home,80,Bye,Bye,Home,84,Away,65,Away,74,Home,65
7,Cardinals,Away,83,Home,93,Home,74,Away,80,Away,72,Away,67,Home,70,Bye,Bye,Home,86,Home,77,Away,70,Away,82,Home,90,Away,79,Home,72,Home,83,Away,90
8,Chargers,Away,63,Home,80,Home,80,Away,90,Away,83,Bye,Bye,Home,70,Away,87,Home,69,Away,86,Home,72,Away,77,Home,82,Home,65,Away,69,Home,87,Away,80
9,Chiefs,Home,60,Away,76,Away,88,Home,82,Home,69,Away,77,Away,87,Home,72,Home,80,Bye,Bye,Away,69,Away,90,Home,87,Away,86,Away,83,Home,65,Home,76
