,Team,Name,Rating,Experience,Salary,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
0,49ers,Jimmy Garoppolo,75,7,126850000,14.8,Away,74,19.6,Away,72,15.7,Home,79,9.6,Home,70,-,Away,73,-,Bye,Bye,7.2,Home,77,27.3,Away,82,20.3,Home,73,15.4,Home,90,15.6,Away,70,12.2,Home,84,18,Away,70,20.1,Away,63,13.8,Home,65,15.2,Away,68,-,Home,60,14.7,Away,90
1,Bears,Justin Fields,75,0,7790000,6.7,Away,90,4.5,Home,63,3.9,Away,86,8.3,Home,74,8.8,Away,69,14.3,Home,79,4.2,Away,90,26.3,Home,83,19.1,Away,86,BYE,Bye,Bye,3.5,Home,88,-,Away,74,-,Home,73,20.4,Away,79,16.9,Home,84,-,Away,70,-,Home,79,-,Away,84
2,Bengals,Joe Burrow,86,1,2000000,18.6,Home,84,13.3,Away,82,18.6,Away,86,22.3,Home,70,20.3,Home,79,23.8,Away,74,27.6,Away,88,21.3,Away,72,9.4,Home,86,BYE,Bye,Bye,9,Away,69,17.4,Home,86,18.6,Home,76,22.2,Home,83,12.8,Away,87,38.1,Home,88,34.8,Home,80,-,Away,86
3,Bills,Josh Allen,89,3,181520000,17.2,Home,86,17.7,Away,86,37.2,Home,93,21,Home,60,36.5,Away,80,29.7,Away,68,BYE,Bye,Bye,29.5,Home,86,11.6,Away,70,21.9,Away,72,18.2,Home,77,28.7,Away,83,11.7,Home,82,36.2,Away,90,21.8,Home,80,31,Away,82,23.9,Home,65,23.9,Home,72
4,Broncos,Teddy Bridgewater,76,7,2500000,20.5,Away,79,21.2,Away,70,11.8,Home,72,6.8,Home,88,19.6,Away,86,21.3,Home,69,14.8,Away,86,12.6,Home,93,21.9,Away,67,9,Home,72,-,Bye,Bye,16.2,Home,76,14,Away,80,15.2,Home,74,4.9,Home,63,-,Away,69,-,Away,76,-,Home,80
5,Browns,Baker Mayfield,78,3,29700000,13.6,Away,80,18.5,Home,60,16.9,Home,82,9.3,Away,84,23,Away,76,13.2,Home,73,-,Home,87,9.5,Home,86,16.7,Away,63,5.9,Away,82,9.9,Home,74,12.3,Away,88,-,Bye,Bye,16,Home,88,-,Home,69,14,Away,79,15,Away,86,-,Home,63
6,Buccaneers,Tom Brady,99,21,1500000,29.2,Home,67,29.6,Home,65,28.7,Away,90,11.1,Away,82,37.7,Home,86,19,Away,72,24.4,Home,82,27.2,Away,83,-,Bye,Bye,15,Away,93,20.3,Home,79,12.2,Away,77,29.6,Away,65,30.1,Home,77,5.8,Home,83,14.4,Away,80,27.4,Away,72,25,Home,80
7,Cardinals,Kyler Murray,86,2,2000000,34.6,Away,68,35.1,Home,84,19.5,Away,70,22.6,Away,90,13.7,Home,83,25.8,Away,86,22.4,Home,60,11.1,Home,79,-,Away,83,-,Home,80,-,Away,70,BYE,Bye,Bye,30.8,Away,82,19.4,Home,90,13.6,Away,74,21.9,Home,77,22.9,Away,67,17.1,Home,70
8,Chargers,Justin Herbert,84,1,2000000,14.4,Away,93,16.7,Home,67,30.8,Away,80,21.3,Home,69,42.8,Home,86,12,Away,88,BYE,Bye,Bye,15.8,Home,82,31.6,Away,72,13,Home,84,35.3,Home,86,21.7,Away,87,26.3,Away,63,24.9,Home,79,24,Home,80,18.9,Away,60,17.7,Home,87,28.4,Away,69
9,Chiefs,Patrick Mahomes II,97,4,183300000,33.3,Home,86,25,Away,88,24.9,Home,76,32.3,Away,72,21,Home,77,25,Away,93,8.7,Away,68,15,Home,79,10.4,Home,79,36.2,Away,69,8.5,Home,67,BYE,Bye,Bye,13.6,Home,87,20.3,Home,69,30.6,Away,76,22.3,Home,86,20.9,Away,63,26.2,Away,87
