,Team,Name,Rating,Experience,Salary,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
15,Eagles,Jalen Hurts,88,3,25550000,12.5,Away,90,26.2,Home,79,21.9,Away,84,24.2,Home,82,28.3,Away,72,22.9,Away,95,24.3,Home,88,27.4,Away,82,25.9,Home,97,,Bye,Bye,,Away,92,,Home,91,,Home,98,,Away,97,,Away,74,,Home,73,,Home,67,,Away,73
16,Falcons,Desmond Ridder,70,1,4290000,7.9,Home,84,22.4,Home,84,6.3,Away,81,8.2,Away,87,26.2,Home,76,19.1,Home,82,13.8,Away,84,3.4,Away,80,-,Home,79,,Away,67,,Bye,Bye,,Home,87,,Away,95,,Home,84,,Away,84,,Home,77,,Away,60,,Away,87
17,Falcons,Taylor Heinicke,68,8,8320000,-,Home,84,-,Home,84,-,Away,81,-,Away,87,-,Home,76,-,Home,82,-,Away,84,12.4,Away,80,15.7,Home,79,,Away,67,,Bye,Bye,,Home,87,,Away,95,,Home,84,,Away,84,,Home,77,,Away,60,,Away,87
18,Giants,Daniel Jones,75,4,79000000,6.5,Home,97,31.7,Away,67,5,Away,98,10.7,Home,74,7.2,Away,88,-,Away,91,-,Home,82,-,Home,95,1.9,Away,72,,Away,97,,Away,82,,Home,90,,Bye,Bye,,Home,84,,Away,87,,Away,95,,Home,72,,Home,95
19,Jaguars,Trevor Lawrence,82,2,12670000,18.7,Away,77,9.2,Home,92,15.4,Home,76,16.5,Home,81,15.7,Away,91,15.7,Home,77,18.1,Away,87,15.7,Away,89,BYE,Bye,Bye,,Home,98,,Home,80,,Away,76,,Home,89,,Away,99,,Home,95,,Away,84,,Home,84,,Away,80
20,Jets,Zach Wilson,69,2,12230000,9.2,Home,91,11.4,Away,97,6.4,Home,90,19.2,Home,92,9.6,Away,69,10.9,Home,95,BYE,Bye,Bye,12.1,Away,73,7.2,Home,74,,Away,72,,Away,91,,Home,88,,Home,81,,Home,76,,Away,88,,Home,82,,Away,99,,Away,90
21,Lions,Jared Goff,80,7,82830000,14,Away,92,23.9,Home,74,19,Home,81,12.4,Away,84,27.4,Home,84,22.4,Away,84,10.4,Away,95,13.7,Home,72,BYE,Bye,Bye,,Away,74,,Home,60,,Home,84,,Away,87,,Away,60,,Home,69,,Away,79,,Away,97,,Home,79
22,Packers,Jordan Love,70,3,1000000,23,Away,60,20.3,Away,81,25.3,Home,87,19.6,Home,81,8,Away,72,BYE,Bye,Bye,16.3,Away,69,15.6,Home,79,13.8,Home,72,,Away,89,,Home,74,,Away,81,,Home,92,,Away,73,,Home,84,,Away,84,,Away,79,,Home,60
23,Panthers,Bryce Young,74,0,3650000,9.5,Away,81,13.5,Home,87,-,Away,74,7.2,Home,79,20.3,Away,81,12.7,Away,88,BYE,Bye,Bye,14.5,Home,76,12,Home,77,,Away,60,,Home,97,,Away,80,,Away,84,,Away,87,,Home,81,,Home,84,,Away,87,,Home,84
24,Panthers,Andy Dalton,72,12,800000,-,Away,81,-,Home,87,23.5,Away,74,-,Home,79,0.1,Away,81,-,Away,88,BYE,Bye,Bye,-,Home,76,-,Home,77,,Away,60,,Home,97,,Away,80,,Away,84,,Away,87,,Home,81,,Home,84,,Away,87,,Home,84
