,Team,Name,Rating,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
24,Browns,Jacoby Brissett,70,10.9,Away,84,16.5,Home,95,17.9,Home,89,16,Away,81,15.4,Home,74,10.6,Home,90,10.1,Away,95,20.3,Home,89,-,Bye,Bye,16.5,Away,88,25.9,Away,91,14.1,Home,84,-,Away,76,0,Away,89,0.3,Home,95,-,Home,87,0.2,Away,79,-,Away,89
25,Browns,Joshua Dobbs,60,-,Away,84,-,Home,95,-,Home,89,-,Away,81,-,Home,74,-,Home,90,BYE,Away,95,-,Home,89,-,Bye,Bye,-,Away,88,-,Away,91,-,Home,84,-,Away,76,-,Away,89,-,Home,95,-,Home,87,11.5,Away,79,11.4,Away,89
26,Cardinals,Kyler Murray,84,20.6,Home,92,26.9,Away,72,13.4,Home,72,23.9,Away,84,17.2,Home,95,15.9,Away,74,17.2,Home,87,26.6,Away,79,19,Home,74,-,Away,72,-,Home,98,26.2,Home,74,BYE,Bye,Bye,0.7,Home,90,-,Away,69,-,Home,84,-,Away,81,-,Away,98
27,Cardinals,Colt McCoy,62,-,Home,92,-,Away,72,-,Home,72,-,Away,84,-,Home,95,-,Away,74,-,Home,87,-,Away,79,-,Home,74,13.9,Away,72,8.3,Home,98,-,Home,74,-,Bye,Bye,11.2,Home,90,2.3,Away,69,-,Home,84,-,Away,81,-,Away,98
28,Cardinals,Trace McSorley,55,2.5,Home,92,-,Away,72,-,Home,72,-,Away,84,-,Home,95,-,Away,74,-,Home,87,-,Away,79,-,Home,74,-,Away,72,2,Home,98,-,Home,74,-,Bye,Bye,BYE,Home,90,2.6,Away,69,5.1,Home,84,-,Away,81,1.5,Away,98
29,Raiders,Derek Carr,83,16.8,Away,74,19,Home,67,20.8,Away,80,11.5,Home,69,17.9,Away,92,-,Bye,Bye,13.5,Home,76,2.9,Away,87,18.4,Away,87,17.9,Home,77,20.3,Away,69,22.8,Away,74,17,Home,74,4.6,Away,72,20.2,Home,90,9.4,Away,89,-,Home,98,-,Home,92
30,Raiders,Nick Mullens,64,-,Away,74,-,Home,67,-,Away,80,-,Home,69,-,Away,92,-,Bye,Bye,BYE,Home,76,-,Away,87,-0.1,Away,87,-,Home,77,2.2,Away,69,-,Away,74,-,Home,74,-,Away,72,-,Home,90,-,Away,89,6.3,Home,98,4.4,Home,92
31,Raiders,Jarrett Stidham,57,-,Away,74,-,Home,67,-,Away,80,-,Home,69,-,Away,92,-,Bye,Bye,-,Home,76,2.9,Away,87,BYE,Away,87,-,Home,77,-,Away,69,-,Away,74,-,Home,74,-,Away,72,-,Home,90,-,Away,89,28,Home,98,14.8,Home,92
32,Titans,Ryan Tannehill,83,19.3,Home,73,2.9,Away,91,19.8,Home,72,14.4,Away,77,11.5,Away,79,BYE,Bye,Bye,3.9,Home,77,-,Away,76,-,Away,92,19.4,Home,69,20,Away,84,12.5,Home,89,13,Away,95,18.8,Home,87,11.7,Away,74,-,Home,76,-,Home,97,-,Away,87
33,Titans,Malik Willis,69,-,Home,73,-0.2,Away,91,-,Home,72,-,Away,77,-,Away,79,BYE,Bye,Bye,-,Home,77,2.4,Away,76,7.2,Away,92,-2.4,Home,69,-,Away,84,-,Home,89,1.4,Away,95,-,Home,87,1.6,Away,74,12.3,Home,76,-,Home,97,-,Away,87
