,Team,Name,Rating,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
61,Jets,Zach Wilson,73,-,Home,95,-,Away,99,-,Home,89,19.8,Away,89,14.6,Home,88,4.5,Away,84,7.2,Away,69,19.4,Home,90,10.6,Home,91,BYE,Bye,Bye,5.7,Away,90,-,Home,60,-,Away,79,-,Away,91,20.4,Home,81,2.8,Home,87,-,Away,74,-,Away,88
62,Jets,Joe Flacco,66,15.4,Home,95,26.9,Away,99,5.4,Home,89,-,Away,89,-,Home,88,-,Away,84,-,Away,69,-,Home,90,-,Home,91,-,Bye,Bye,-,Away,90,-,Home,60,-,Away,79,-2,Away,91,-,Home,81,-,Home,87,-,Away,74,5.7,Away,88
63,Jets,Mike White,56,-,Home,95,-,Away,99,-,Home,89,-,Away,89,-,Home,88,-,Away,84,-,Away,69,-,Home,90,-,Home,91,-,Bye,Bye,BYE,Away,90,24.8,Home,60,19.5,Away,79,10.7,Away,91,-,Home,81,-,Home,87,5.6,Away,74,-,Away,88
64,Lions,Jared Goff,72,16.5,Home,95,26,Home,79,14.9,Away,79,34.2,Home,74,6.9,Away,90,BYE,Bye,Bye,3.5,Away,97,17.6,Home,88,12.4,Home,84,14.8,Away,60,6.5,Away,73,17.6,Home,91,21.6,Home,87,26.1,Home,79,14.1,Away,95,25.7,Away,84,22.4,Home,60,9.5,Away,84
65,Lions,Tim Boyle,57,-,Home,95,-,Home,79,-,Away,79,-,Home,74,-,Away,90,-,Bye,Bye,-,Away,97,-,Home,88,-,Home,84,BYE,Away,60,-,Away,73,-,Home,91,-,Home,87,-,Home,79,-,Away,95,-,Away,84,-,Home,60,-0.9,Away,84
66,Lions,David Blough,56,-,Home,95,-,Home,79,-,Away,79,-,Home,74,-,Away,90,BYE,Bye,Bye,-,Away,97,-,Home,88,-,Home,84,-,Away,60,-,Away,73,-,Home,91,-,Home,87,-,Home,79,-,Away,95,-,Away,84,13.6,Home,60,7,Away,84
67,Texans,Davis Mills,71,15.5,Home,77,7.2,Away,69,11.8,Away,60,15.8,Home,74,5.8,Away,87,BYE,Bye,Bye,19.1,Away,72,9.9,Home,80,14,Home,95,15.8,Away,73,11.8,Home,79,-,Away,88,-,Home,99,6.2,Away,97,18.9,Home,92,10.9,Away,80,9.4,Home,87,24.5,Away,77
68,Texans,Kyle Allen,63,-,Home,77,-,Away,69,-,Away,60,-,Home,74,-,Away,87,-,Bye,Bye,BYE,Away,72,-,Home,80,-,Home,95,0,Away,73,-,Home,79,11.8,Away,88,8.1,Home,99,-,Away,97,-,Home,92,-,Away,80,-,Home,87,-,Away,77
69,Texans,Jeff Driskel,60,0.5,Home,77,1,Away,69,-,Away,60,-,Home,74,-,Away,87,-,Bye,Bye,-,Away,72,-,Home,80,-,Home,95,-,Away,73,-,Home,79,-,Away,88,BYE,Home,99,9.1,Away,97,1.1,Home,92,2.2,Away,80,1.1,Home,87,1.2,Away,77
70,Falcons,Marcus Mariota,71,19.8,Home,87,15.4,Away,72,16.6,Away,74,4.9,Home,99,18,Away,84,24.2,Home,98,12.1,Away,89,24.4,Home,84,7.6,Home,74,18.7,Away,84,17.7,Home,60,14.9,Away,79,11.4,Home,89,-,Bye,Bye,-,Away,87,-,Away,95,-,Home,67,-,Home,84
