,Team,Name,Rating,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent
37,Raiders,Nathan Peterman,51,-,Away,80,-,Home,83,-,Away,82,-,Home,77,-,Away,80,-,Bye,Bye,-,Home,90,-,Away,86,-,Away,76,-,Home,87,BYE,Home,80,1.9,Away,65,-,Away,72,-,Home,77,-,Home,76,-,Home,86,-,Away,87
38,Browns,Baker Mayfield,78,10.9,Away,88,16.3,Home,63,14.3,Home,93,15.2,Away,67,17.6,Home,77,7.3,Away,86,30.8,Away,63,7.8,Home,69,-,Bye,Bye,5.4,Home,60,7.1,Home,72,18.4,Away,70,28.5,Away,68,31,Home,88,21,Away,79,8,Away,72,16.2,Home,86
39,Browns,Case Keenum,67,-,Away,88,-,Home,63,-,Home,93,-,Away,67,-,Home,77,1.8,Away,86,-,Away,63,BYE,Home,69,-,Bye,Bye,-,Home,60,-,Home,72,-,Away,70,-,Away,68,-,Home,88,-,Away,79,0,Away,72,-,Home,86
40,Browns,Garrett Gilbert,48,-,Away,88,-,Home,63,-,Home,93,-,Away,67,-,Home,77,-,Away,86,-,Away,63,-,Home,69,15.5,Bye,Bye,-,Home,60,-,Home,72,-,Away,70,-,Away,68,-,Home,88,-,Away,79,-,Away,72,0,Home,86
41,Patriots,Cam Newton,78,25.7,Home,86,35.6,Away,70,12.2,Home,69,-,Away,80,-,Bye,Bye,19.5,Home,87,2.8,Home,83,18.4,Away,77,24.6,Away,72,16.8,Home,88,19.2,Away,60,6,Home,73,23.6,Away,76,5.4,Away,90,12.2,Away,86,9.8,Home,77,37.5,Home,72
42,Patriots,Brian Hoyer,62,-,Home,86,-,Away,70,-,Home,69,3,Away,80,-,Bye,Bye,BYE,Home,87,-,Home,83,-,Away,77,-,Away,72,-,Home,88,-,Away,60,-,Home,73,-,Away,76,-,Away,90,-,Away,86,-,Home,77,-,Home,72
43,Patriots,Jarrett Stidham,61,-,Home,86,-,Away,70,-,Home,69,4.7,Away,80,BYE,Bye,Bye,-,Home,87,1.9,Home,83,-,Away,77,-,Away,72,-,Home,88,-,Away,60,-,Home,73,6.2,Away,76,1.4,Away,90,-,Away,86,1.8,Home,77,-,Home,72
44,Bills,Josh Allen,77,28.2,Home,72,34.5,Away,86,32.2,Home,90,25.4,Away,69,18.3,Away,68,16.1,Home,80,16.4,Away,72,13.5,Home,82,36,Home,70,28.4,Away,73,BYE,Bye,Bye,16.5,Home,76,30.1,Away,83,19.3,Home,86,37.7,Away,87,32.3,Away,82,20.3,Home,86
45,Bills,Matt Barkley,64,-,Home,72,-,Away,86,-,Home,90,-,Away,69,0.9,Away,68,-,Home,80,-,Away,72,-,Home,82,-,Home,70,-,Away,73,BYE,Bye,Bye,0,Home,76,-,Away,83,-,Home,86,0,Away,87,0.1,Away,82,9.3,Home,86
46,Cardinals,Kyler Murray,77,27.3,Away,83,33.1,Home,93,24.7,Home,74,23.1,Away,80,27.3,Away,72,28.9,Away,67,38.1,Home,70,BYE,Bye,Bye,37.9,Home,86,30.9,Home,77,20.3,Away,70,8.9,Away,82,17.4,Home,90,18.5,Away,79,34.1,Home,72,16.4,Home,83,3.8,Away,90
47,Bengals,Joe Burrow,76,17.3,Home,76,24.5,Away,86,20.4,Away,72,16.1,Home,70,5.3,Away,88,17.7,Away,77,34.6,Home,86,18.9,Home,68,BYE,Bye,Bye,12.5,Away,86,11.3,Away,93,-,Home,79,-,Away,86,-,Home,67,-,Home,86,-,Away,60,-,Home,88
48,Bengals,Ryan Finley,55,-,Home,76,-,Away,86,0,Away,72,-,Home,70,-,Away,88,-,Away,77,-,Home,86,-,Home,68,-,Bye,Bye,-,Away,86,2.1,Away,93,-,Home,79,0.6,Away,86,0.2,Home,67,18.3,Home,86,-,Away,60,-,Home,88
49,Rams,Jared Goff,76,11.5,Home,67,24,Away,72,28.2,Away,77,11.7,Home,79,25.4,Away,93,15.9,Away,83,16.9,Home,82,12.2,Away,86,-,Bye,Bye,10.5,Home,70,25,Away,90,5,Home,83,24.1,Away,73,15.6,Home,82,16.3,Home,72,10.7,Away,70,-,Home,73
50,Rams,John Wolford,55,-,Home,67,-,Away,72,-,Away,77,-,Home,79,-,Away,93,-,Away,83,-,Home,82,-,Away,86,-,Bye,Bye,-,Home,70,-,Away,90,-,Home,83,BYE,Away,73,-,Home,82,-,Home,72,-,Away,70,13.8,Home,73
51,Panthers,Teddy Bridgewater,75,19.4,Home,69,10.7,Away,90,14.6,Away,76,27.2,Home,73,20.8,Away,65,11.4,Home,82,19.2,Away,83,13,Home,65,28.3,Away,80,20,Home,90,-,Home,74,14.9,Away,84,-,Bye,Bye,20.4,Home,87,16.9,Away,79,9.6,Away,93,5.7,Home,83
52,Panthers,P.J. Walker,59,-,Home,69,-,Away,90,-,Away,76,-,Home,73,-,Away,65,-,Home,82,-,Away,83,0.1,Home,65,BYE,Away,80,0.5,Home,90,12.1,Home,74,-,Away,84,-,Bye,Bye,-,Home,87,-,Away,79,-,Away,93,0.8,Home,83
53,Dolphins,Ryan Fitzpatrick,74,8.4,Away,82,24.3,Home,77,24.2,Away,70,23.3,Home,70,27.6,Away,83,18,Home,72,-,Bye,Bye,-,Home,90,-,Away,73,-,Home,76,4.3,Away,87,19.3,Away,72,-,Home,63,0,Home,80,-,Home,82,11.3,Away,69,-,Away,77
54,Dolphins,Tua Tagovailoa,73,-,Away,82,-,Home,77,-,Away,70,-,Home,70,-,Away,83,0.4,Home,72,BYE,Bye,Bye,5.7,Home,90,21.4,Away,73,14.7,Home,76,7.3,Away,87,-,Away,72,16.1,Home,63,28,Home,80,19.7,Home,82,8.9,Away,69,18.2,Away,77
55,Jets,Sam Darnold,73,12.2,Away,77,11.9,Home,83,9.7,Away,77,23.6,Home,87,-,Home,73,-,Away,86,2.8,Home,77,7.4,Away,80,-,Home,82,-,Bye,Bye,BYE,Away,76,6.8,Home,86,21,Home,69,5.6,Away,70,14.1,Away,90,17,Home,86,12.9,Away,82
56,Jets,Joe Flacco,69,-,Away,77,-,Home,83,-,Away,77,0.6,Home,87,13.8,Home,73,6.4,Away,86,-,Home,77,-,Away,80,21.5,Home,82,-,Bye,Bye,15.4,Away,76,-,Home,86,-,Home,69,-,Away,70,-,Away,90,-,Home,86,-,Away,82
57,Giants,Daniel Jones,72,19.4,Home,86,8.7,Away,82,9.1,Home,83,11.1,Away,90,8.2,Away,67,14.9,Home,93,21.7,Away,72,18.2,Home,90,12.9,Away,93,22.2,Home,72,BYE,Bye,Bye,10.4,Away,63,-,Away,70,3.1,Home,73,-,Home,86,14.4,Away,88,15.9,Home,67
58,Giants,Colt McCoy,61,-,Home,86,-,Away,82,-,Home,83,-,Away,90,-,Away,67,-,Home,93,-,Away,72,-,Home,90,-,Away,93,-,Home,72,-,Bye,Bye,1.9,Away,63,9.4,Away,70,-1.3,Home,73,9.1,Home,86,-,Away,88,-,Home,67
59,Bears,Nick Foles,71,-,Away,74,-,Home,79,18.2,Away,65,12.9,Home,77,12.6,Home,90,17.3,Away,80,8.4,Away,90,17.9,Home,83,21.6,Away,68,3.4,Home,84,-,Bye,Bye,-,Away,79,-,Home,74,-,Home,60,-,Away,84,-0.2,Away,70,-,Home,79
60,Bears,Tyler Bray,47,-,Away,74,-,Home,79,-,Away,65,-,Home,77,-,Home,90,-,Away,80,-,Away,90,-,Home,83,-,Away,68,0.7,Home,84,-,Bye,Bye,-,Away,79,-,Home,74,-,Home,60,-,Away,84,-,Away,70,-,Home,79
61,Jaguars,Gardner Minshew II,70,20.8,Home,77,25.5,Away,68,10.2,Home,86,21.9,Away,63,19.8,Away,60,18.1,Home,74,19,Away,76,-,Bye,Bye,-,Home,60,-,Away,79,-,Home,86,-,Home,86,-,Away,84,13.3,Home,68,15.9,Away,88,-,Home,82,-,Away,77
62,Jaguars,Joshua Dobbs,62,-,Home,77,-,Away,68,-,Home,86,-,Away,63,-,Away,60,-,Home,74,BYE,Away,76,-,Bye,Bye,-,Home,60,-,Away,79,-,Home,86,-,Home,86,-,Away,84,-,Home,68,-,Away,88,-,Home,82,2.1,Away,77
63,Jaguars,Jake Luton,59,-,Home,77,-,Away,68,-,Home,86,-,Away,63,-,Away,60,-,Home,74,-,Away,76,-,Bye,Bye,22.5,Home,60,9.8,Away,79,2,Home,86,-,Home,86,BYE,Away,84,-,Home,68,-,Away,88,-,Home,82,-,Away,77
64,Jaguars,Mike Glennon,58,-,Home,77,-,Away,68,-,Home,86,-,Away,63,-,Away,60,-,Home,74,-,Away,76,-,Bye,Bye,-,Home,60,-,Away,79,-,Home,86,18,Home,86,14.1,Away,84,2.4,Home,68,-,Away,88,14.4,Home,82,16.6,Away,77
65,Broncos,Drew Lock,70,13.1,Home,68,-1.2,Away,86,-,Home,90,-,Away,72,-,Bye,Bye,5.5,Away,82,15,Home,80,20.8,Home,76,30.2,Away,65,11,Away,69,12.1,Home,86,-,Home,83,12.9,Away,80,25.6,Away,80,11,Home,77,16.1,Away,76,24.3,Home,69
66,Broncos,Jeff Driskel,61,-,Home,68,19.7,Away,86,11.4,Home,90,0.9,Away,72,-,Bye,Bye,-,Away,82,-,Home,80,BYE,Home,76,-,Away,65,-,Away,69,-,Home,86,-,Home,83,-,Away,80,-,Away,80,-,Home,77,-,Away,76,-,Home,69
67,Broncos,Brett Rypien,55,-,Home,68,-,Away,86,1.1,Home,90,14.2,Away,72,-,Bye,Bye,BYE,Away,82,0,Home,80,-,Home,76,-,Away,65,-,Away,69,-,Home,86,-,Home,83,-,Away,80,-,Away,80,-,Home,77,-,Away,76,-,Home,69
68,Chargers,Justin Herbert,70,-,Away,63,23.2,Home,80,15.7,Home,80,24,Away,90,27.4,Away,83,BYE,Bye,Bye,38.5,Home,70,23.2,Away,87,23.4,Home,69,21.5,Away,86,27.7,Home,72,17.4,Away,77,6.4,Home,82,16.7,Home,65,28,Away,69,16.7,Home,87,33,Away,80
69,Chargers,Tyrod Taylor,69,9,Away,63,-,Home,80,-,Home,80,-,Away,90,-,Away,83,-,Bye,Bye,-,Home,70,-,Away,87,0,Home,69,-,Away,86,BYE,Home,72,-,Away,77,-,Home,82,-,Home,65,-,Away,69,-,Home,87,-,Away,80
70,Chargers,Easton Stick,62,-,Away,63,-,Home,80,-,Home,80,-,Away,90,-,Away,83,BYE,Bye,Bye,0,Home,70,-,Away,87,-,Home,69,-,Away,86,-,Home,72,-,Away,77,-,Home,82,-,Home,65,-,Away,69,-,Home,87,-,Away,80
71,Redskins,Alex Smith,68,-,Home,72,-,Away,73,-,Away,86,-,Home,88,1.6,Home,90,-,Away,79,-,Home,67,-,Bye,Bye,14,Home,79,16,Away,74,9.3,Home,63,9.1,Away,67,15.8,Away,86,1.3,Away,83,-,Home,70,-,Home,80,12.5,Away,72
72,Redskins,Kyle Allen,65,-,Home,72,-,Away,73,-,Away,86,-,Home,88,9.7,Home,90,17,Away,79,16.9,Home,67,-,Bye,Bye,2.5,Home,79,-,Away,74,BYE,Home,63,-,Away,67,-,Away,86,-,Away,83,-,Home,70,-,Home,80,-,Away,72
73,Chiefs,Chad Henne,59,-,Home,60,-,Away,76,-,Away,88,-,Home,82,-,Home,69,-,Away,77,6.3,Away,87,0.7,Home,72,-,Home,80,-,Bye,Bye,-,Away,69,-,Away,90,-,Home,87,-,Away,86,-,Away,83,-,Home,65,16.7,Home,76
