,#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,Year
0,1,Josh Allen,QB,BUF,12,23.7,22.3,36.5,28.8,14.9,25.3,30.1,25.7,,,,,,,,,,24.4,219.2,2023
1,2,Jalen Hurts,QB,PHI,12.5,26.2,21.9,24.2,28.3,22.9,24.3,27.4,25.9,,,,,,,,,,23.7,213.5,2023
2,3,Patrick Mahomes II,QB,KC,20.5,22.2,25.7,15.2,19.2,18.3,34.9,7.6,15.8,,,,,,,,,,19.9,179.5,2023
3,4,Lamar Jackson,QB,BAL,7.6,22.9,28.2,28.1,10.9,18.1,33.9,12,11.5,,,,,,,,,,19.2,173.2,2023
4,5,Tua Tagovailoa,QB,MIA,28.1,13.3,28.4,15,18.9,22.5,11.3,22.8,12.4,,,,,,,,,,19.2,172.7,2023
5,6,Sam Howell,QB,WAS,16.2,21.3,4.6,19.6,26.4,18.3,10.5,32,18.7,,,,,,,,,,18.6,167.5,2023
6,7,Justin Herbert,QB,LAC,20.9,22.2,29.3,24.4,BYE,19.1,12.9,24,7.1,,,,,,,,,,20.0,159.8,2023
7,8,C.J. Stroud,QB,HOU,9.7,21.5,20.6,21.8,14.2,15.2,BYE,12.9,41.8,,,,,,,,,,19.7,157.6,2023
8,9,Kirk Cousins,QB,MIN,17.5,28.6,26.7,11.6,19.9,8.7,22,19.9,-,,,,,,,,,,19.3,154.7,2023
9,10,Joshua Dobbs,QB,MIN,1,25.2,17.1,23.4,10.7,11.1,16.1,24.9,24.9,,,,,,,,,,17.2,154.5,2023
10,11,Dak Prescott,QB,DAL,6.3,19.6,15.4,14.3,7.3,24.9,BYE,29.1,28.4,,,,,,,,,,18.2,145.2,2023
11,12,Jared Goff,QB,DET,14,23.9,19,12.4,27.4,22.4,10.4,13.7,BYE,,,,,,,,,,17.9,143.3,2023
12,13,Brock Purdy,QB,SF,16.8,14.7,20.3,21.3,26.1,8.7,14.8,20.3,BYE,,,,,,,,,,17.9,143.0,2023
13,14,Jordan Love,QB,GB,23,20.3,25.3,19.6,8,BYE,16.3,15.6,13.8,,,,,,,,,,17.7,141.9,2023
14,15,Russell Wilson,QB,DEN,15.2,26.9,15.2,22.2,18.7,8.9,13.9,17.6,BYE,,,,,,,,,,17.3,138.6,2023
15,16,Baker Mayfield,QB,TB,16,18.4,11,23.9,BYE,7.8,17.2,21.4,19,,,,,,,,,,16.9,134.8,2023
16,17,Trevor Lawrence,QB,JAC,18.7,9.2,15.4,16.5,15.7,15.7,18.1,15.7,BYE,,,,,,,,,,15.6,125.0,2023
17,18,Joe Burrow,QB,CIN,3.2,16.4,9.2,4.7,24.4,14.8,BYE,27.6,22.3,,,,,,,,,,15.3,122.5,2023
18,19,Derek Carr,QB,NO,15.6,7.7,8.1,3.2,15.7,17.3,18.4,18.3,16.7,,,,,,,,,,13.5,121.1,2023
19,20,Matthew Stafford,QB,LAR,14.5,16,13.5,17.2,16.9,13.2,15,12.4,-,,,,,,,,,,14.8,118.6,2023
20,21,Justin Fields,QB,CHI,15.5,16.7,11.7,28.9,33,5.9,-,-,-,,,,,,,,,,18.6,111.7,2023
21,22,Mac Jones,QB,NE,25.1,14.7,13.3,2.7,0.4,6.9,20,13.2,12.1,,,,,,,,,,12.1,108.5,2023
22,23,Desmond Ridder,QB,ATL,7.9,22.4,6.3,8.2,26.2,19.1,13.8,3.4,-,,,,,,,,,,13.4,107.3,2023
23,24,Geno Smith,QB,SEA,9.1,23.1,16.4,8.2,BYE,13,14.8,15.9,3.7,,,,,,,,,,13.0,104.2,2023
