,#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,Year
38,39,Trey Lance,QB,DAL,4.4,-,6.1,20.4,15.6,-,BYE,-,-,-,0.4,-,-,-,-,-,20.1,-,11.2,66.9,2021
39,40,Geno Smith,QB,SEA,-,-,-,-,10.5,10.3,11.9,22.6,BYE,-,-,-,-,-,-,-,-,-,13.8,55.3,2021
40,41,Drew Lock,QB,SEA,-,-,-,3.5,-,-,-,-,BYE,-,-,0,-,-,5.3,7.1,14.9,22,8.8,52.9,2021
41,42,Mike White,QB,MIA,-,-,-,-,-,-,10.1,28.1,7.8,6,-,-,-,BYE,-,-,-,-,13.0,52.0,2021
42,43,Josh Johnson,QB,BAL,-,-,-,-,-,-,-,0.7,25.5,-,-,2,-,-,-,20.2,-,-,12.1,48.3,2021
43,44,Colt McCoy,QB,FA,-,-,-,-0.2,-,-0.3,-0.1,-,16.3,1.2,22.9,-,-,0,2.5,-,-,-,5.3,42.3,2021
44,45,Mike Glennon,QB,FA,-,-,-,-,10,-,-,-,-,-,-,-,6.5,19.3,1,7.8,-3.7,-,6.8,40.9,2021
45,46,Gardner Minshew II,QB,IND,-,-,-,-,-,-,-,0.4,-,-,-,-,18.8,BYE,-,-,-,15.4,11.6,34.7,2021
46,47,Tim Boyle,QB,NYJ,-,-,-,-,-,BYE,-,-,-,-,1.1,-,-,-,-,10.5,18.9,-0.1,7.6,30.3,2021
47,48,Case Keenum,QB,HOU,-,-,0,-,-,0.2,12.7,-,-,3.2,-,-,-,-,-,-,-,13.5,5.9,29.7,2021
48,49,Cooper Rush,QB,DAL,-,-,-,-,-,-,BYE,18.2,-,0.1,-,-,-,-,-,6.8,-,0,6.3,25.1,2021
49,50,Jordan Love,QB,GB,0.7,-0.3,-,-,-,-,-,-,12.9,-,-0.1,-,BYE,-,-,-,1.7,9.3,4.0,24.1,2021
50,51,Joe Flacco,QB,FA,-,-,-,-,-,-,-,-,-,5.9,17.9,-,-,-,-,-,-,-,11.9,23.8,2021
51,52,Mason Rudolph,QB,PIT,-,-,-,-,-,-,BYE,-,-,16.3,-,-,-,-,-,3.1,-,-,9.7,19.4,2021
52,53,Nick Foles,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.8,-,-,16.8,16.8,2021
