,#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,Year
0,1,Lamar Jackson,QB,BAL,33.6,30.9,21.3,26.5,14.4,30.6,23.3,BYE,28.6,33.4,32.8,36.3,22.3,20.8,37.1,29.8,-,28.1,421.7,2019
1,2,Dak Prescott,QB,DAL,33.4,28.7,23.5,8.6,26.2,18.2,21.6,BYE,22.5,26.9,31.6,7.9,23.7,17.5,17.7,11.3,29.6,21.8,348.8,2019
2,3,Jameis Winston,QB,NO,10.1,13.2,26.5,30.3,17.5,17.1,-,21.3,20.2,20.3,18.8,26.3,10.7,37.7,33.7,15,16.5,21.0,335.4,2019
3,4,Russell Wilson,QB,DEN,16.6,24.2,41.3,14.3,29.9,28.9,15.3,15.7,39.2,17.6,-,10.5,17.9,11.6,19.3,11,20.2,20.9,333.6,2019
4,5,Deshaun Watson,QB,CLE,31.7,12.9,25.8,11.6,41.7,31.4,17.5,27.8,19.7,-,5,19.9,27.9,30.1,18.9,10.1,-,22.1,332.0,2019
5,6,Josh Allen,QB,BUF,18,22.2,19.3,11.7,18.5,BYE,21.3,17.3,17.6,25.4,33.8,20,23.5,10.7,17.4,20.6,0.2,18.6,297.6,2019
6,7,Kyler Murray,QB,ARI,22.6,16.4,19.8,17.3,25.4,28.8,7,10.1,23,27.8,26.7,BYE,14.3,13,17.4,12.7,15,18.6,297.3,2019
7,8,Patrick Mahomes II,QB,KC,27.3,31.6,27.9,18,18.5,19.8,7.2,-,-,29.8,16.2,BYE,19.5,14.9,23.7,25.4,12.1,20.9,292.0,2019
8,9,Carson Wentz,QB,LAR,25,19.5,21.7,19.7,12.1,21.5,7.8,14.4,15.1,-,12.3,10.9,25.4,19.9,21.5,19,17.1,17.7,282.9,2019
9,10,Aaron Rodgers,QB,NYJ,12.9,14.4,13,26.5,9.4,19.3,43.8,27.1,12.9,10,-,9.5,28.1,11.4,14.4,9.3,20,17.6,282.1,2019
10,11,Matt Ryan,QB,FA,20.6,22.1,23.5,15.7,32.9,30.9,3.6,-,-,15.6,16.4,8.6,18.6,21.3,19.1,18,14.5,18.8,281.3,2019
11,12,Tom Brady,QB,FA,25.6,24.7,20.1,4.7,24.9,23,13,18.4,14.4,-,8.5,11.3,25.3,11.8,12.9,17.2,15.8,17.0,271.7,2019
12,13,Jared Goff,QB,DET,10.4,19.1,16.1,23.7,18.9,1.1,25,22.9,-,5.7,6.2,6.4,25,18.1,18.6,21.1,25.2,16.5,263.5,2019
13,14,Jimmy Garoppolo,QB,LV,11.4,23.6,11.4,-,14.9,13.1,7,14,28.9,11,31.7,18.2,9.1,29.1,12.6,12.4,11.8,16.3,260.3,2019
14,15,Philip Rivers,QB,FA,24.9,11.9,19.6,20.4,6.1,16.8,21.2,11,11.8,13.3,16.1,-,17.6,24.6,11.3,11.2,17.7,16.0,255.5,2019
15,16,Ryan Fitzpatrick,QB,FA,11.2,1.2,1.2,-,-,9.8,21.6,13.3,23.7,14.1,12.9,25.1,27.8,15.3,20.5,32.7,24.3,17.0,254.5,2019
16,17,Derek Carr,QB,NO,14.6,11.7,16.7,13.5,8,-,16.7,23.4,19.6,13.1,20.8,5.2,11.6,20.2,15.9,21.9,19.6,15.8,252.4,2019
17,18,Kirk Cousins,QB,MIN,14.3,10.9,12.6,7.3,20.5,28.3,29.2,11.6,21.3,19.3,22.9,BYE,18,13.6,12.7,7.9,-,16.7,250.4,2019
18,19,Baker Mayfield,QB,TB,12.4,16,10.7,16.8,0,22.5,BYE,12.6,17.1,17.6,21.8,24.6,9,13,18,15.1,23.1,15.6,250.2,2019
19,20,Gardner Minshew II,QB,IND,18.6,16.1,18,16.7,21.2,5.6,21,24,9.8,-,-,-,11.7,13.6,18.7,14.8,25.5,16.8,235.2,2019
20,21,Ryan Tannehill,QB,TEN,-0.2,-,-,-,-,5.4,20.2,19.4,25,18.9,BYE,32.4,13.8,28.5,25.2,23.7,17.9,19.2,230.2,2019
21,22,Drew Brees,QB,FA,21.8,0.5,-,-,-,-,-,25.9,-,11.5,21.1,23.4,11.3,40.1,28.3,22.9,22,20.8,228.8,2019
22,23,Daniel Jones,QB,NYG,-0.8,-,34.2,14.3,11.5,8.2,11.4,28.2,12.8,30.3,BYE,14.7,11.2,-,-,35.3,15.6,17.5,227.0,2019
23,24,Jacoby Brissett,QB,WAS,16.5,17.3,20.8,23.5,11.9,-,27.6,9.5,2.8,BYE,16.1,13.2,14.7,22.6,7.3,14.7,4.2,14.8,222.7,2019
24,25,Andy Dalton,QB,CAR,20.7,19.6,18.1,4.6,19,14.6,21.3,17.2,-,-,-,-,13.3,10.6,6.1,33.8,17.6,16.7,216.7,2019
25,26,Mitch Trubisky,QB,PIT,9.2,5.6,20.4,0.4,-,-,20,8.1,6.5,19.7,11,20.9,24.9,33.1,18.3,8.3,6.4,14.2,212.8,2019
26,27,Sam Darnold,QB,SF,13,-,-,BYE,-,20.6,-2.7,15.6,13.5,21.7,26.4,28.2,10.5,18.1,16.8,9.6,10.8,15.6,202.2,2019
27,28,Kyle Allen,QB,BUF,0,-,24.3,3.3,11.6,17.4,-,3.3,15.9,14.5,9.7,23.1,24.3,20.1,14.6,-,11.3,13.8,193.5,2019
28,29,Matthew Stafford,QB,LAR,27.6,17.1,12.1,23.4,-,11.5,29.6,24.4,25.8,-,-,-,-,-,-,-,-,21.4,171.6,2019
29,30,Mason Rudolph,QB,PIT,-,12.2,15.5,16.9,9.2,-,BYE,17,11.1,13.6,10.3,2.8,-,-,-,9.2,-,11.8,117.8,2019
30,31,Case Keenum,QB,HOU,27.2,16.7,14.6,0.5,-,15.6,3.1,3.2,-,BYE,-,-0.1,-,-,-,16.4,11.2,10.8,108.5,2019
31,32,Teddy Bridgewater,QB,DET,0,7.1,16.3,7.5,28.3,13.6,19.9,-0.2,-,-,-,-,-,-,-0.3,-,0.3,9.2,92.5,2019
32,33,Joe Flacco,QB,FA,14.8,16.7,6,23,9,6,6.5,7.9,-,-,-,-,-,-,-,-,-,11.2,89.9,2019
33,34,Marcus Mariota,QB,PHI,24.3,13.4,15.6,23.3,8.6,0.9,-,-,-,BYE,-,-,-,-,-,-,1,12.4,87.0,2019
34,35,Dwayne Haskins,QB,FA,-,-,-,3.6,-,-,-,0.3,7.2,-,18.1,6,6.5,9.7,19,13.3,-,9.3,83.7,2019
35,36,Drew Lock,QB,SEA,-,-,-,-,-,-,-,-,-,-,BYE,-,13.9,24.9,7.6,12.7,12,14.2,71.0,2019
36,37,Jeff Driskel,QB,ARI,0,-,-,-,-,-,-,-,-,18.1,27.5,15.6,-,-,-,-,-,15.3,61.1,2019
37,38,David Blough,QB,DET,-,-,-,-,BYE,-,-,-,-,-,-,-,18.3,10.2,10.3,8.7,12.9,12.1,60.4,2019
38,39,Eli Manning,QB,FA,14.8,12.2,-,-,-,-,-,-,-,-,-,-,-,16,16.3,-,-,14.8,59.4,2019
39,40,Devlin Hodges,QB,FA,-,-,-,-,4.7,9.1,-,-,-,-,-,8.8,11.7,13.5,8.5,1.4,1.7,7.4,59.3,2019
40,41,Matt Moore,QB,FA,-0.1,-,-,-,-,-,8.6,19,15,-,-,-,-0.1,-,-,-0.1,-,7.0,42.3,2019
41,42,Nick Foles,QB,FA,7,-,-,-,-,-,-,-,-,-,18.8,14.9,-1,-,-,-,-,9.9,39.7,2019
42,43,Brandon Allen,QB,SF,-,-,-,BYE,-,-,-,-,17,-,14.4,3.1,-,-,-,-,-,11.5,34.5,2019
43,44,Matt Schaub,QB,FA,0,-,-,-,-,0,6.5,21.4,-,-,-0.1,6.2,-,-0.1,-,-,-,4.8,33.9,2019
44,45,Chase Daniel,QB,FA,0,-,-,12.2,15.4,-,-,-,-,-,0.4,-,0,-,-,-,-,5.6,28.0,2019
45,46,Ryan Finley,QB,FA,-,-,-,-,-,-,-,-,-,9.9,6.3,10.5,-,-,-,-,-,8.9,26.7,2019
46,47,Brian Hoyer,QB,LV,0,-,-,-,-,-,-,-,16.3,9.2,-0.2,-,-,-,-,-0.2,-,5.0,25.1,2019
47,48,Josh Rosen,QB,FA,-0.8,2.9,9.3,10.2,-,1.4,-,-,-,0,-,-,-,-,-,-,-,3.8,23.0,2019
48,49,Robert Griffin III,QB,FA,7.1,-,-,-,-,-,-,-,-,0.7,0.5,1.3,-,0,0.6,-,7.8,2.6,18.0,2019
49,50,AJ McCarron,QB,CIN,0,-,-,-,-,-,-,-,BYE,-,0,-,-,-,-,-,17.9,6.0,17.9,2019
50,51,Cam Newton,QB,FA,6.4,11.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.8,17.7,2019
51,52,Ben Roethlisberger,QB,FA,10.7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.9,13.7,2019
52,53,Luke Falk,QB,FA,-,7.9,2.9,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,3.9,11.6,2019
53,54,Matt Barkley,QB,NYG,0,-,-,4.1,-,-,-,-,-,-,BYE,-,-,-,-,-,4.9,3.0,9.0,2019
54,55,Brett Hundley,QB,FA,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,5.5,0.6,2.0,6.1,2019
55,56,Tyrod Taylor,QB,NYG,0,0,0,0.2,0,-,-,-,-,-,BYE,-,0,6,-,-0.2,-,0.8,6.0,2019
56,57,Will Grier,QB,NE,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,7.7,-2.3,2.7,5.3,2019
57,58,Colt McCoy,QB,FA,0,-,-,-,5.3,-,-,-,-,-,-,-,-,-,-,-,-,2.6,5.3,2019
58,59,Mike Glennon,QB,FA,0,-,-,-,-,-,5.4,-,-,-,-,-1.2,-,-,-,-,-,1.4,4.2,2019
59,60,Josh McCown,QB,FA,-,1,-,-,-0.2,0,-,-,-,-,-,-,-,-,-,-,-,0.3,0.8,2019
60,61,Ryan Griffin,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,-0.1,-,-,0.3,0.6,2019
61,62,Sean Mannion,QB,MIN,-,-,-0.2,-,-,-,-,-,-,-,-,BYE,-,-,-0.3,-,1,0.2,0.5,2019
62,63,Trevor Siemian,QB,NYJ,-,0.1,-,BYE,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,2019
63,63,Trace McSorley,QB,CHI,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.1,2019
64,65,Alex Tanney,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0.0,0.0,2019
65,65,Brock Osweiler,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
66,65,Chad Henne,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
67,65,James Franklin,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.0,0.0,2019
68,65,Geno Smith,QB,SEA,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,0,0.0,0.0,2019
69,65,Taylor Heinicke,QB,ATL,0,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,0.0,0.0,2019
70,65,C.J. Beathard,QB,JAC,0,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,0.0,0.0,2019
71,65,David Fales,QB,FA,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,0.0,0.0,2019
72,65,Mark Sanchez,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
73,65,Matt Cassel,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
74,65,Cooper Rush,QB,DAL,0,-,-,-,-,-,-,BYE,-,-,-,-,-,-,0,-,-,0.0,0.0,2019
75,65,Alex Smith,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
76,65,Drew Anderson,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
77,65,Andrew Luck,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
78,65,Joshua Dobbs,QB,MIN,0,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,0.0,0.0,2019
79,65,Brandon Weeden,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
80,65,Joe Webb III,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
81,65,Chad Kelly,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
82,65,Nate Sudfeld,QB,DET,0,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
83,65,Sam Bradford,QB,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2019
84,85,Tim Boyle,QB,NYJ,-,-,-,BYE,-,-,-0.3,-,-,-,-,0.6,-0.4,-,-,-,-,0.0,-0.1,2019
85,86,Nick Mullens,QB,MIN,0,-,-,-,-,-,-,-0.3,-,-,-,BYE,-,-,-,-,-,-0.2,-0.3,2019
86,87,Garrett Gilbert,QB,FA,0,-,-,-,0,-,-,-,-,-,-0.1,-0.1,0,-0.1,-,-,-,-0.1,-0.3,2019
87,88,Jarrett Stidham,QB,DEN,-,-,-0.4,-,0,-,-0.2,-,-,BYE,-,-,-,-,-,-,-,-0.2,-0.6,2019
88,89,Blake Bortles,QB,FA,0,-,-,-,-,-,0,-,-,0.1,-,-,-0.9,-,-,-,-,-0.2,-0.8,2019
