,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent
0,49ers,Home,84,Away,81,Home,82,Away,81,Away,72,Away,80,Home,91,Away,86,Home,81,Home,76,Bye,Bye,Home,81,Away,72,Away,86,Home,82,Home,80,Away,82
1,Bears,Home,87,Away,81,Home,92,Away,82,Home,77,Away,71,Home,84,Away,90,Bye,Bye,Home,82,Home,83,Away,86,Home,73,Away,74,Away,83,Home,70,Away,77
2,Bengals,Home,71,Home,86,Away,82,Away,70,Home,75,Bye,Bye,Away,92,Home,72,Away,80,Away,82,Away,78,Home,70,Home,92,Home,72,Away,77,Home,83,Away,71
3,Bills,Home,75,Away,84,Home,78,Away,87,Away,74,Bye,Bye,Home,81,Home,80,Away,75,Home,90,Away,79,Away,90,Home,94,Home,72,Home,70,Away,94,Away,70
4,Broncos,Home,79,Home,91,Away,75,Home,80,Bye,Bye,Home,76,Away,79,Away,90,Away,86,Home,94,Home,74,Away,80,Away,70,Home,75,Away,72,Away,80,Home,90
5,Browns,Home,92,Away,71,Away,72,Home,74,Home,75,Away,86,Home,82,Home,77,Bye,Bye,Away,83,Home,80,Away,74,Away,79,Home,82,Home,71,Away,72,Away,92
6,Buccaneers,Bye,Bye,Home,72,Away,77,Home,76,Home,94,Away,81,Away,75,Home,84,Away,90,Home,75,Away,70,Away,87,Away,82,Home,83,Home,87,Away,84,Home,90
7,Cardinals,Away,83,Away,72,Home,91,Home,73,Away,86,Home,81,Away,82,Bye,Bye,Away,73,Home,81,Away,86,Home,80,Home,82,Home,82,Away,80,Home,76,Away,81
8,Chargers,Away,78,Home,70,Home,90,Home,86,Away,76,Away,80,Home,78,Away,94,Bye,Bye,Away,80,Home,75,Away,91,Home,70,Home,80,Away,90,Away,75,Home,80
9,Chiefs,Away,94,Home,86,Away,79,Home,80,Away,86,Home,92,Away,80,Home,78,Away,91,Bye,Bye,Away,76,Home,75,Away,75,Home,80,Home,79,Home,70,Away,78
10,Colts,Away,82,Home,81,Home,70,Away,81,Home,73,Away,82,Home,80,Away,74,Away,86,Home,92,Bye,Bye,Home,82,Away,80,Away,75,Home,78,Away,71,Home,86
11,Cowboys,Home,76,Away,78,Away,81,Home,82,Home,82,Bye,Bye,Away,73,Away,80,Home,90,Away,87,Home,86,Home,79,Home,80,Away,76,Away,80,Home,81,Away,86
12,Dolphins,Bye,Bye,Away,79,Away,75,Home,90,Home,82,Away,87,Home,75,Away,71,Home,80,Away,84,Home,81,Away,94,Home,78,Home,94,Away,75,Away,90,Home,75
13,Eagles,Away,80,Away,90,Home,76,Away,79,Home,81,Away,84,Home,80,Home,73,Home,78,Bye,Bye,Away,91,Home,72,Away,81,Away,82,Away,76,Home,80,Home,91
14,Falcons,Away,72,Home,82,Away,83,Home,75,Bye,Bye,Home,70,Away,94,Away,75,Away,84,Home,91,Away,81,Home,81,Home,77,Home,90,Away,81,Away,90,Home,84
15,Giants,Away,91,Home,83,Away,86,Away,81,Home,79,Away,78,Home,81,Bye,Bye,Home,82,Away,73,Home,90,Away,80,Away,80,Home,91,Home,86,Away,81,Home,80
16,Jaguars,Away,86,Home,82,Home,71,Away,75,Away,92,Home,82,Away,72,Bye,Bye,Home,74,Home,79,Away,70,Away,81,Home,72,Home,81,Home,86,Away,73,Away,82
17,Jets,Away,75,Away,80,Home,70,Home,80,Away,70,Home,94,Away,70,Home,87,Home,75,Away,81,Bye,Bye,Home,84,Home,90,Away,78,Away,90,Home,79,Away,94
18,Lions,Home,81,Away,76,Home,87,Away,77,Home,84,Away,90,Bye,Bye,Home,92,Away,82,Home,70,Away,72,Home,77,Away,71,Away,81,Home,72,Away,74,Home,82
19,Packers,Home,81,Away,87,Home,74,Home,72,Away,91,Away,77,Home,90,Bye,Bye,Home,83,Away,72,Home,71,Away,92,Home,81,Away,70,Away,84,Home,77,Away,83
20,Panthers,Away,73,Home,75,Home,90,Away,94,Away,83,Home,86,Away,72,Away,81,Home,87,Home,70,Bye,Bye,Away,75,Away,90,Home,77,Home,82,Home,81,Away,87
21,Patriots,Home,90,Away,90,Home,86,Home,84,Away,81,Away,75,Home,87,Home,79,Bye,Bye,Away,78,Away,80,Home,70,Away,75,Away,70,Away,92,Home,75,Home,75
22,Raiders,Away,82,Home,75,Away,80,Away,78,Home,71,Home,79,Home,90,Away,75,Away,70,Bye,Bye,Home,94,Home,78,Home,76,Away,90,Home,91,Away,86,Away,79
23,Rams,Home,72,Home,80,Away,73,Away,91,Home,81,Away,80,Home,81,Bye,Bye,Away,76,Home,86,Away,77,Home,90,Away,81,Home,86,Away,81,Away,82,Home,73
24,Ravens,Away,74,Home,70,Away,80,Home,92,Away,80,Home,72,Away,77,Home,70,Away,82,Bye,Bye,Away,82,Home,86,Home,83,Away,92,Away,70,Home,72,Home,74
25,Redskins,Home,86,Away,82,Home,80,Away,90,Bye,Bye,Home,73,Away,86,Home,91,Away,81,Home,77,Away,90,Home,76,Away,91,Away,79,Home,81,Home,78,Away,76
26,Saints,Away,77,Home,94,Away,84,Away,70,Bye,Bye,Home,83,Away,82,Home,72,Home,81,Away,75,Home,80,Away,82,Home,84,Away,87,Home,75,Home,87,Away,81
27,Seahawks,Away,82,Home,73,Away,82,Home,72,Away,82,Bye,Bye,Away,76,Home,86,Home,80,Away,81,Home,87,Away,73,Home,86,Away,80,Home,82,Away,91,Home,81
28,Steelers,Away,70,Home,77,Away,72,Away,71,Home,80,Away,90,Home,74,Away,83,Bye,Bye,Away,72,Home,82,Home,82,Away,74,Home,71,Home,94,Away,86,Home,70
29,Texans,Home,80,Away,74,Away,94,Home,82,Home,90,Home,70,Bye,Bye,Away,81,Home,72,Away,82,Home,81,Away,71,Away,82,Home,73,Away,80,Home,92,Away,72
