Team,Name,Rating
Kansas City Chiefs,Patrick Mahomes,97
New England Patriots,Tom Brady,96
Los Angeles Chargers,Philip Rivers,94
Indianapolis Colts,Andrew Luck,92
New Orleans Saints,Drew Brees,92
Seattle Seahawks,Russell Wilson,91
Green Bay Packers,Aaron Rodgers,90
Atlanta Falcons,Matt Ryan,89
Pittsburgh Steelers,Ben Roethlisberger,85
Carolina Panthers,Cam Newton,84
Cleveland Browns,Baker Mayfield,83
Los Angeles Rams,Jared Goff,83
Philadelphia Eagles,Carson Wentz,82
Houston Texans,Deshaun Watson,82
Dallas Cowboys,Dak Prescott,81
Minnesota Vikings,Kirk Cousins,81
Cincinnati Bengals,Andy Dalton,80
Oakland Raiders,Derek Carr,80
Detroit Lions,Matthew Stafford,79
Tennessee Titans,Marcus Mariota,79
San Francisco 49ers,Jimmy Garoppolo,78
Jacksonville Jaguars,Nick Foles,77
Washington Redskins,Alex Smith,77
Tampa Bay Buccaneers,Jameis Winston,76
Baltimore Ravens,Lamar Jackson,76
Chicago Bears,Mitchell Trubisky,75
Miami Dolphins,Ryan Fitzpatrick,75
Buffalo Bills,Josh Allen,74
Denver Broncos,Joe Flacco,74
New York Jets,Sam Darnold,74
Tennessee Titans,Ryan Tannehill,74
Arizona Cardinals,Kyler Murray,73
Washington Redskins,Case Keenum,73
New Orleans Saints,Teddy Bridgewater,73
New York Giants,Eli Manning,72
Washington Redskins,Dwayne Haskins Jr,72
Los Angeles Chargers,Tyrod Taylor,71
Indianapolis Colts,Jacoby Brissett,71
Miami Dolphins,Josh Rosen,70
Los Angeles Rams,Blake Bortles,69
San Francisco 49ers,Nick Mullens,68
Denver Broncos,Drew Lock,67
Carolina Panthers,Will Grier,66
Baltimore Ravens,Robert Griffin III,66
Arizona Cardinals,Brett Hundley,65
Pittsburgh Steelers,Mason Rudolph,65
Buffalo Bills,Matt Barkley,64
Buffalo Bills,Tyree Jackson,64
New England Patriots,Brian Hoyer,64
Chicago Bears,Chase Daniel,63
New York Giants,Daniel Jones,63
Green Bay Packers,DeShone Kizer,63
Pittsburgh Steelers,Joshua Dobbs,63
Los Angeles Chargers,Easton Stick,62
New York Giants,Kyle Lauletta,62
Washington Redskins,Colt McCoy,62
Houston Texans,A.J. McCarron,62
Cincinnati Bengals,Jeff Driskel,61
Tampa Bay Buccaneers,Blaine Gabbert,61
Philadelphia Eagles,Cody Kessler,61
New York Jets,Trevor Siemian,61
Oakland Raiders,Mike Glennon,61
Cleveland Browns,Drew Stanton,60
San Francisco 49ers,C.J. Beathard,59
Jacksonville Jaguars,Gardner Minshew II,59
Kansas City Chiefs,Chad Henne,58
Seattle Seahawks,Geno Smith,58
Philadelphia Eagles,Nate Sudfeld,57
New York Jets,Davis Webb,57
New England Patriots,Jarrett Stidham,57
Seattle Seahawks,Paxton Lynch,57
Cincinnati Bengals,Ryan Finley,56
Denver Broncos,Brett Rypien,56
Los Angeles Chargers,Cardale Jones,56
Indianapolis Colts,Phillip Walker,56
Philadelphia Eagles,Clayton Thorson,56
Atlanta Falcons,Matt Schaub,56
New Orleans Saints,Taysom Hill,56
Denver Broncos,Kevin Hogan,55
Detroit Lions,Tom Savage,55
Green Bay Packers,Tim Boyle,55
Baltimore Ravens,Trace McSorley,55
Minnesota Vikings,Kyle Sloter,55
Tampa Bay Buccaneers,Nick Fitzgerald,54
Tampa Bay Buccaneers,Ryan Griffin,54
Jacksonville Jaguars,Alex McGough,54
Carolina Panthers,Taylor Heinicke,54
Minnesota Vikings,Sean Mannion,54
Dallas Cowboys,Cooper Rush,53
Dallas Cowboys,Mike White,53
New Orleans Saints,J.T. Barrett IV,53
Houston Texans,Joe Webb III,53
Kansas City Chiefs,Kyle Shurmur,52
New York Jets,Luke Falk,52
Miami Dolphins,Jake Rudock,51
Detroit Lions,Connor Cook,51
New England Patriots,Danny Etling,50
Oakland Raiders,Nathan Peterman,50
Carolina Panthers,Kyle Allen,49
Cleveland Browns,David Blough,48
Cleveland Browns,Garrett Gilbert,48
Arizona Cardinals,Chad Kanoff,48
Atlanta Falcons,Kurt Benkert,47
Tennessee Titans,Logan Woodside,47
Chicago Bears,Tyler Bray,46
Jacksonville Jaguars,Tanner Lee,46
Los Angeles Rams,Brandon Allen,46
Kansas City Chiefs,Chase Litton,45
New York Giants,Alex Tanney,45
Washington Redskins,Josh Woodrum,44
