Team,Name,Rating
49ers,Jimmy Garoppolo,75
49ers,Trey Lance,72
Bears,Justin Fields,75
Bears,Andy Dalton,71
Bears,Nick Foles,69
Bengals,Joe Burrow,86
Bengals,Brandon Allen,54
Bills,Josh Allen,89
Bills,Mitchell Trubisky,67
Broncos,Teddy Bridgewater,76
Broncos,Drew Lock,66
Broncos,Brett Rypien,58
Browns,Baker Mayfield,78
Browns,Case Keenum,66
Buccaneers,Tom Brady,99
Buccaneers,Kyle Trask,63
Buccaneers,Blaine Gabbert,60
Cardinals,Kyler Murray,86
Cardinals,Colt McCoy,62
Cardinals,Trace McSorley,55
Chargers,Justin Herbert,84
Chargers,Chase Daniel,60
Chargers,Easton Stick,60
Chiefs,Patrick Mahomes,97
Chiefs,Chad Henne,61
Chiefs,Shane Buechele,52
Colts,Carson Wentz,73
Colts,Sam Ehlinger,58
Cowboys,Dak Prescott,90
Cowboys,Cooper Rush,58
Cowboys,Will Grier,55
Dolphins,Tua Tagovailoa,73
Dolphins,Jacoby Brissett,69
Eagles,Jalen Hurts,74
Eagles,Gardner Minshew II,67
Eagles,Reid Sinnett,50
Falcons,Matt Ryan,82
Falcons,Josh Rosen,65
Falcons,Feleipe Franks,59
Falcons,A.J. McCarron,58
Football Team,Ryan Fitzpatrick,73
Football Team,Taylor Heinicke,69
Football Team,Kyle Allen,64
Football Team,Garrett Gilbert,55
Giants,Daniel Jones,70
Giants,Jake Fromm,59
Giants,Mike Glennon,58
Jaguars,Trevor Lawrence,74
Jaguars,C.J. Beathard,57
Jets,Zach Wilson,72
Jets,Joe Flacco,68
Jets,Mike White,55
Lions,Jared Goff,72
Lions,Tim Boyle,57
Lions,David Blough,56
Packers,Aaron Rodgers,95
Packers,Jordan Love,68
Packers,Kurt Benkert,59
Panthers,Sam Darnold,71
Panthers,Cam Newton,71
Panthers,P.J. Walker,61
Patriots,Mac Jones,77
Patriots,Brian Hoyer,61
Patriots,Jarrett Stidham,58
Raiders,Derek Carr,83
Raiders,Marcus Mariota,70
Rams,Matthew Stafford,83
Rams,John Wolford,59
Rams,Bryce Perkins,54
Ravens,Lamar Jackson,90
Ravens,Tyler Huntley,65
Ravens,Josh Johnson,56
Saints,Jameis Winston,76
Saints,Taysom Hill,67
Saints,Trevor Siemian,61
Saints,Ian Book,59
Seahawks,Russell Wilson,88
Seahawks,Jacob Eason,62
Seahawks,Geno Smith,60
Steelers,Ben Roethlisberger,74
Steelers,Dwayne Haskins Jr,63
Steelers,Mason Rudolph,62
Steelers,Joshua Dobbs,61
Texans,Deshaun Watson,84
Texans,Tyrod Taylor,70
Texans,Davis Mills,68
Titans,Ryan Tannehill,85
Titans,Logan Woodside,51
Vikings,Kirk Cousins,81
Vikings,Kellen Mond,64
Vikings,Sean Mannion,52
