Year,Week,Home Team,Away Team
2021,14,Vikings,Steelers
2021,14,Bengals,49ers
2021,14,Browns,Ravens
2021,14,Titans,Jaguars
2021,14,Chiefs,Raiders
2021,14,Jets,Saints
2021,14,Washington,Cowboys
2021,14,Panthers,Falcons
2021,14,Texans,Seahawks
2021,14,Broncos,Lions
2021,14,Chargers,Giants
2021,14,Buccaneers,Bills
2021,14,Packers,Bears
2021,14,Cardinals,Rams
