,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent
0,Patriots,Home,77,Away,98,Away,79,Home,74,Home,75,Home,73,Away,86,Away,82,Home,78,Away,78,Bye,Bye,Away,79,Home,97,Away,74,Away,92,Home,82,Home,79
1,Packers,Home,86,Home,97,Away,91,Home,82,Away,79,Home,75,Bye,Bye,Away,95,Away,73,Home,74,Away,89,Away,97,Home,97,Home,77,Away,86,Away,79,Home,79
2,Seahawks,Away,91,Away,86,Home,77,Away,97,Home,95,Away,74,Bye,Bye,Away,79,Home,90,Away,95,Home,78,Away,94,Home,75,Home,97,Away,75,Home,73,Home,97
3,Saints,Home,73,Home,82,Away,77,Away,77,Home,91,Bye,Bye,Away,97,Away,97,Home,95,Away,80,Home,96,Home,77,Away,77,Away,73,Away,94,Home,92,Home,94
4,Falcons,Away,96,Home,94,Home,94,Home,80,Away,92,Home,73,Home,77,Bye,Bye,Away,91,Away,82,Home,77,Away,94,Home,97,Away,78,Home,97,Away,94,Away,73
5,Steelers,Away,82,Home,73,Away,73,Home,97,Home,77,Away,80,Bye,Bye,Home,82,Away,97,Home,94,Away,98,Away,91,Home,90,Away,74,Home,73,Away,94,Home,80
6,Panthers,Home,77,Away,77,Home,80,Bye,Bye,Home,77,Away,91,Away,96,Home,97,Home,73,Away,92,Away,79,Home,89,Away,73,Away,82,Home,94,Home,77,Away,94
7,Colts,Home,80,Away,91,Away,96,Home,77,Away,73,Away,79,Home,82,Away,74,Bye,Bye,Home,98,Home,78,Home,74,Away,98,Away,77,Home,77,Home,77,Away,78
8,Chargers,Home,73,Away,82,Away,95,Home,75,Home,74,Away,82,Home,78,Bye,Bye,Away,89,Away,74,Home,91,Home,97,Away,92,Home,80,Away,73,Home,97,Away,91
9,Eagles,Home,77,Away,73,Home,75,Away,78,Home,97,Away,77,Home,94,Away,98,Bye,Bye,Home,77,Away,94,Home,77,Home,91,Away,77,Away,95,Home,77,Away,91
10,Lions,Home,79,Away,75,Home,73,Away,77,Home,78,Bye,Bye,Away,74,Home,89,Away,97,Away,86,Home,94,Home,86,Home,95,Away,97,Away,82,Home,97,Away,78
11,Redskins,Away,97,Home,75,Home,78,Bye,Bye,Away,94,Home,94,Home,77,Away,77,Home,77,Away,73,Home,77,Away,77,Away,96,Home,77,Away,98,Away,78,Home,96
12,Raiders,Home,95,Away,91,Away,74,Home,82,Away,90,Home,89,Bye,Bye,Home,75,Away,75,Home,90,Away,97,Away,97,Home,73,Home,92,Away,80,Home,91,Away,73
13,49ers,Away,97,Home,79,Away,73,Away,90,Home,97,Away,78,Home,95,Away,97,Home,74,Home,77,Bye,Bye,Away,73,Away,89,Home,91,Home,89,Home,86,Away,95
14,Rams,Away,74,Home,97,Home,90,Home,97,Away,89,Away,91,Away,75,Home,78,Away,94,Home,89,Home,73,Bye,Bye,Away,79,Away,86,Home,96,Away,97,Home,75
15,Texans,Away,73,Away,78,Home,77,Away,75,Home,77,Home,82,Away,98,Home,74,Away,91,Bye,Bye,Away,91,Home,78,Home,82,Home,75,Away,79,Away,96,Home,98
16,Cowboys,Away,94,Home,77,Away,89,Home,79,Away,77,Home,98,Away,91,Bye,Bye,Home,78,Away,96,Away,77,Home,91,Home,94,Home,96,Away,75,Home,73,Away,77
17,Vikings,Home,75,Away,78,Home,82,Away,95,Away,96,Home,97,Away,79,Home,94,Home,79,Bye,Bye,Away,86,Home,78,Away,73,Away,89,Home,74,Away,79,Home,86
18,Browns,Home,92,Away,94,Home,79,Away,74,Home,97,Home,90,Away,73,Away,92,Home,73,Home,77,Bye,Bye,Away,80,Away,77,Home,94,Away,91,Home,80,Away,97
19,Broncos,Home,89,Home,74,Away,97,Home,73,Away,79,Home,95,Away,97,Away,73,Home,77,Bye,Bye,Away,90,Home,92,Away,80,Away,75,Home,82,Away,74,Home,90
20,Jaguars,Away,77,Home,73,Home,78,Home,79,Away,73,Away,77,Home,77,Home,96,Bye,Bye,Away,75,Home,92,Away,82,Home,75,Away,78,Home,91,Away,74,Away,77
21,Buccaneers,Away,94,Home,96,Home,92,Away,86,Bye,Bye,Away,77,Home,82,Away,80,Away,94,Home,91,Away,77,Home,75,Home,94,Home,94,Away,97,Away,77,Home,77
22,Ravens,Home,82,Away,80,Home,91,Away,92,Away,82,Away,78,Home,94,Away,94,Home,92,Bye,Bye,Home,80,Home,74,Away,77,Away,73,Home,73,Away,90,Home,82
23,Titans,Away,74,Home,77,Away,98,Home,96,Away,82,Home,97,Away,90,Bye,Bye,Away,77,Home,73,Away,75,Away,77,Home,79,Home,98,Away,77,Home,91,Home,75
24,Cardinals,Home,91,Away,95,Home,86,Home,89,Away,75,Away,97,Home,91,Home,75,Bye,Bye,Away,73,Home,74,Away,90,Away,78,Home,79,Away,77,Home,95,Away,89
25,Dolphins,Home,78,Away,79,Home,74,Away,73,Away,80,Home,86,Home,79,Away,77,Home,79,Away,78,Bye,Bye,Away,75,Home,82,Home,73,Away,97,Home,98,Away,82
26,Jets,Away,79,Home,74,Away,82,Away,98,Home,91,Home,75,Home,97,Away,86,Away,74,Home,82,Bye,Bye,Home,73,Away,78,Away,82,Home,77,Home,78,Away,73
27,Bengals,Away,75,Home,97,Away,94,Away,77,Home,74,Home,92,Away,73,Home,73,Bye,Bye,Home,94,Away,97,Home,82,Home,91,Away,90,Home,74,Away,82,Away,92
28,Chiefs,Away,90,Away,92,Home,75,Away,91,Home,98,Away,73,Home,80,Home,91,Away,82,Home,97,Away,95,Bye,Bye,Away,74,Home,97,Home,90,Away,89,Home,74
29,Giants,Home,98,Away,77,Away,77,Home,94,Away,94,Home,96,Away,77,Home,91,Bye,Bye,Away,75,Home,73,Away,96,Home,86,Away,91,Home,78,Away,75,Home,77
30,Bills,Away,97,Home,90,Away,97,Away,78,Home,78,Away,77,Away,75,Home,73,Home,86,Away,79,Bye,Bye,Home,98,Away,74,Home,79,Home,79,Away,73,Home,74
31,Bears,Away,78,Home,89,Away,97,Home,73,Bye,Bye,Away,74,Home,73,Home,79,Away,82,Home,79,Home,97,Away,79,Away,77,Home,95,Home,78,Away,75,Away,97
